ds4: Metal device Apple M5 Max, 64.00 GiB RAM
ds4: Metal 4 tensor API enabled for Tensor kernels
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=on
ds4: Metal model views created in 0.016 ms, residency requested in 0.053 ms, warmup 0.405 ms (mapped 1.06 MiB from offset 0.00 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
dimension,rows,repeat,mode,iterations,total_ms,ms_per_cycle,stage0_ms,stage1_ms,stage2_ms
4096,5,3,stage_sync_timers,100,79.218000,0.792180,0.261850,0.265820,0.264470
4096,5,3,enqueue_timers,100,46.843000,0.468430,0.004650,0.001160,0.000970
4096,5,3,outer_timer,100,46.347000,0.463470,0.000000,0.000000,0.000000
4096,5,4,outer_timer,100,43.653000,0.436530,0.000000,0.000000,0.000000
4096,5,4,enqueue_timers,100,41.295000,0.412950,0.003560,0.000980,0.000910
4096,5,4,stage_sync_timers,100,74.553000,0.745530,0.250870,0.245730,0.248830
4096,5,5,stage_sync_timers,100,75.005000,0.750050,0.251060,0.256840,0.242070
4096,5,5,enqueue_timers,100,41.494000,0.414940,0.003440,0.001050,0.000940
4096,5,5,outer_timer,100,41.766000,0.417660,0.000000,0.000000,0.000000
4096,5,6,outer_timer,100,42.358000,0.423580,0.000000,0.000000,0.000000
4096,5,6,enqueue_timers,100,42.543000,0.425430,0.003470,0.001060,0.000870
4096,5,6,stage_sync_timers,100,75.274000,0.752740,0.246000,0.252010,0.254660
4096,5,7,stage_sync_timers,100,78.518000,0.785180,0.262960,0.262280,0.259830
4096,5,7,enqueue_timers,100,50.737000,0.507370,0.003400,0.001030,0.000910
4096,5,7,outer_timer,100,50.994000,0.509940,0.000000,0.000000,0.000000
4096,6,0,outer_timer,100,53.849000,0.538490,0.000000,0.000000,0.000000
4096,6,0,enqueue_timers,100,43.404000,0.434040,0.003460,0.001000,0.000900
4096,6,0,stage_sync_timers,100,75.004000,0.750040,0.251430,0.257530,0.240960
4096,6,1,stage_sync_timers,100,75.635000,0.756350,0.247040,0.258020,0.251170
