case,mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
fresh_seeds-heldout-code-2048,separate_seed,default,40,1.1743907039389259,1.0,1.0,1.0,0,0,1.047789155826864,1.0
fresh_seeds-heldout-code-2048,separate_seed,existing_cost_gate,40,1.170751003747544,0.9969007757135898,0.9871588242891804,1.0063342493589746,0,17,1.0202250046921284,0.8983570366831992
fresh_seeds-heldout-code-2048,separate_seed,fixed_1,40,0.8439504856850968,0.7186283771273673,0.7068273633054889,0.7303576928909434,40,40,0.8320278182245806,0.6410520976666294
fresh_seeds-heldout-code-2048,separate_seed,fixed_2,40,1.0178565372736421,0.8667103152807106,0.8534033239684756,0.8800351983516995,7,40,0.9844379983619373,0.7649192491775969
fresh_seeds-heldout-code-2048,separate_seed,fixed_3,40,1.1142259037110216,0.9487693490538451,0.9351952992605984,0.9622523591750166,0,36,1.0313713703383598,0.85218460666809
fresh_seeds-heldout-code-2048,separate_seed,fixed_4,40,1.1573874114049674,0.9855216049676406,0.9711648426388276,1.000281098224325,0,26,1.0760856927839308,0.8745932818079384
fresh_seeds-heldout-code-2048,separate_seed,fixed_5,40,1.1698068086519502,0.9960967885120334,0.9890368316402395,1.0036178524686057,0,26,1.0462013317668803,0.9448859953597603
fresh_seeds-heldout-code-2048,separate_seed,h1,40,1.1156243089620173,0.9499600986453612,0.9315968374699115,0.9684212046257671,1,32,0.9932570824081889,0.8117033738527734
fresh_seeds-heldout-code-2048,separate_seed,h2,40,1.1225889324913982,0.9558905130347305,0.9364126567798571,0.9748604874928408,2,29,0.9885611240756079,0.796405149499087
fresh_seeds-heldout-code-2048,separate_seed,ordinary,40,1.0,0.8515053777639617,0.83699641961273,0.8658164139098178,0,40,1.0,0.7582461739289384
fresh_seeds-heldout-code-256,resident_seed_batch,default,40,1.367052851575331,1.0,1.0,1.0,0,0,1.1626735553769156,1.0
fresh_seeds-heldout-code-256,resident_seed_batch,existing_cost_gate,40,1.4012108344525185,1.024986585440223,1.0090063681772559,1.0417665810412018,0,11,1.2369900309740853,0.9148455607812339
fresh_seeds-heldout-code-256,resident_seed_batch,fixed_1,40,0.9074032961479863,0.6637660680802027,0.6450639466885799,0.6820450844516134,40,40,0.8941504581320951,0.5058731160687475
fresh_seeds-heldout-code-256,resident_seed_batch,fixed_2,40,1.08505940912868,0.793721623767732,0.7732432737662819,0.8136360426270836,0,40,1.0260983112447248,0.622917259551276
fresh_seeds-heldout-code-256,resident_seed_batch,fixed_3,40,1.5333351245459124,1.1216355847390722,1.0945940733620623,1.1493858792485687,0,3,1.4040619129591214,0.9785780468098765
fresh_seeds-heldout-code-256,resident_seed_batch,fixed_4,40,1.537756537350747,1.124869850919593,1.0979160483034514,1.1551339980589501,0,1,1.3885354481520988,0.9821561683655461
fresh_seeds-heldout-code-256,resident_seed_batch,fixed_5,40,1.5062187901323236,1.1017999694720098,1.0789342887614992,1.1277927365616376,0,3,1.3329105920503088,0.9844952402641413
fresh_seeds-heldout-code-256,resident_seed_batch,h1,40,1.4502457358156233,1.0608556458840817,1.028559815006159,1.0913391131299444,0,8,1.0286104360243162,0.7509158162819591
fresh_seeds-heldout-code-256,resident_seed_batch,h2,40,1.5002665562930486,1.0974459067652051,1.0709880471753002,1.1259431510130744,0,5,1.3547208238502402,0.9516037124588552
fresh_seeds-heldout-code-256,resident_seed_batch,ordinary,40,1.0,0.7315006137821551,0.7107792017257052,0.7519748865304315,0,40,1.0,0.5582151668198104
fresh_seeds-heldout-code-256,separate_seed,default,40,1.2259157907737357,1.0,1.0,1.0,0,0,1.1225216036064039,1.0
fresh_seeds-heldout-code-256,separate_seed,existing_cost_gate,40,1.2307356175534787,1.003931613260892,0.9962297679625242,1.011793766711355,0,18,1.1327119749574706,0.9574127693373038
fresh_seeds-heldout-code-256,separate_seed,fixed_1,40,0.9074032961479863,0.7401840346434232,0.7268999778002656,0.7526494895906194,40,40,0.8941504581320951,0.6484549206451328
fresh_seeds-heldout-code-256,separate_seed,fixed_2,40,1.08505940912868,0.885101095274942,0.8718337610031556,0.8975497775514455,0,40,1.0260983112447248,0.7941616967784082
fresh_seeds-heldout-code-256,separate_seed,fixed_3,40,1.1824071663725377,0.9645092878902085,0.9503452088361041,0.9779578348933411,0,31,1.1121590530057217,0.8547728958971514
fresh_seeds-heldout-code-256,separate_seed,fixed_4,40,1.227411028924162,1.0012196907501147,0.9883141414693162,1.0144688473446974,0,23,1.1321215672753782,0.92370286593514
